Country,ISO,econ_freedom,gdp_pc,continent,pol_freedom
Portugal,PRT,7.49,21969.1478,Europe,97
Romania,ROU,7.66,9538.872221,Europe,84
Rwanda,RWA,7.38,689.6884541,Africa,23
Saudi Arabia,SAU,6.95,21312.80718,Asia,7
Senegal,SEN,6.42,1042.494703,Africa,75
Serbia,SRB,6.68,5663.392381,Europe,73
Sierra Leone,SLE,5.92,490.5640686,Africa,66
Singapore,SGP,8.71,51855.07945,Asia,52
Slovenia,SVN,6.73,23781.29225,Europe,93
South Africa,ZAF,6.64,7585.758055,Africa,78
Spain,ESP,7.38,30465.60489,Europe,94
Sri Lanka,LKA,6.52,3637.53913,Asia,55
Swaziland,SWZ,6.77,4057.284441,Africa,16
Sweden,SWE,7.46,55163.63538,Europe,100
Switzerland,CHE,8.25,75582.05429,Europe,96
Tanzania,TZA,6.84,842.3737544,Africa,52
Thailand,THA,6.56,5775.13676,Asia,31
Togo,TGO,5.89,553.8602437,Africa,47
Tunisia,TUN,6.54,4272.47951,Africa,70
Turkey,TUR,6.86,11522.70512,Europe,32
Uganda,UGA,7.34,672.8086555,Africa,37
United Kingdom,GBR,7.93,41182.61952,Europe,94
United States,USA,7.75,51638.06521,Americas,86
Uruguay,URY,7.08,13943.90435,Americas,98
Vietnam,VNM,6.43,1684.69149,Asia,20
"Yemen, Rep.",YEM,6.44,774.4504935,Asia,NA
Zambia,ZMB,7.04,1607.358312,Africa,55
Zimbabwe,ZWE,5.28,814.5603652,Africa,30
